"","title","book_type","rank","rank_last_week","weeks_on_list","author","publisher","description","date_published","book_image","book_image_width","book_image_height"
"91","THE BODY KEEPS THE SCORE","Paperback Nonfiction",1,1,122,"Bessel van der Kolk","Penguin","How trauma affects the body and mind, and innovative treatments for recovery.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9780670785933.jpg",128,193
"92","WHITE FRAGILITY","Paperback Nonfiction",2,2,129,"Robin DiAngelo","Beacon","Historical and cultural analyses on what causes defensive moves by white people and how this inhibits cross-racial dialogue.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9780807047415.jpg",330,495
"93","BRAIDING SWEETGRASS","Paperback Nonfiction",3,4,45,"Robin Wall Kimmerer","Milkweed Editions","A botanist and member of the Citizen Potawatomi Nation espouses having an understanding and appreciation of plants and animals.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9781571313560.jpg",321,495
"94","THE BODY","Paperback Nonfiction",4,3,4,"Bill Bryson","Anchor","An owner’s manual of the human body covering various parts, functions and what happens when things go wrong.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9780385539302.jpg",330,482
"95","NOMADLAND","Paperback Nonfiction",5,0,1,"Jessica Bruder","Norton","A look at an expanding low-cost labor pool, which largely consists of transient older adults, and what this might portend.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9780393356311.jpg",333,500
"96","THE WARMTH OF OTHER SUNS","Paperback Nonfiction",6,5,60,"Isabel Wilkerson","Vintage","An account of the Great Migration of 1915-70, in which six million African-Americans abandoned the South.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9780679763888.jpg",298,450
"97","BORN A CRIME","Paperback Nonfiction",7,6,106,"Trevor Noah","One World","A memoir about growing up biracial in apartheid South Africa by the host of “The Daily Show.”","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9780399588181.jpg",326,495
"98","SAPIENS","Paperback Nonfiction",8,8,132,"Yuval Noah Harari","Harper Perennial","How Homo sapiens became Earth’s dominant species.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9780062316097.jpg",128,192
"99","ON TYRANNY","Paperback Nonfiction",9,13,84,"Timothy Snyder","Tim Duggan","Twenty lessons from the 20th century about the course of tyranny.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9780804190114.jpg",330,465
"100","SO YOU WANT TO TALK ABOUT RACE","Paperback Nonfiction",10,11,33,"Ijeoma Oluo","Seal","A look at the contemporary racial landscape of the United States.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9781580056786.jpg",330,495
"101","JUST MERCY","Paperback Nonfiction",11,7,242,"Bryan Stevenson","One World","A civil rights lawyer and MacArthur grant recipient’s memoir of his decades of work to free innocent people condemned to death.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9780812994520.jpg",128,193
"102","THE NEW JIM CROW","Paperback Nonfiction",12,10,222,"Michelle Alexander","New Press","A law professor on the “war on drugs” and its role in the disproportionate incarceration of Black men.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9781595586438.jpg",128,191
"103","MY GRANDMOTHER'S HANDS","Paperback Nonfiction",13,0,13,"Resmaa Menakem","Central Recovery","A therapist who specializes in trauma, body-centered psychotherapy and violence prevention explains racism's effect on the body.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9781942094470.jpg",333,499
"104","THE COLOR OF LAW","Paperback Nonfiction",14,12,41,"Richard Rothstein","Liveright","A case for how the American government abetted racial segregation in metropolitan areas across the country.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9781631494536.jpg",314,495
"105","OUTLIERS","Paperback Nonfiction",15,15,329,"Malcolm Gladwell","Back Bay/Little, Brown","Unexpected factors that explain why some people succeed, such as upbringing, timing and 10,000 hours of deliberate practice.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9780316017930.jpg",184,280
"106","THE BODY KEEPS THE SCORE","Paperback Nonfiction",1,1,123,"Bessel van der Kolk","Penguin","How trauma affects the body and mind, and innovative treatments for recovery.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9780670785933.jpg",128,193
"107","NOMADLAND","Paperback Nonfiction",2,5,2,"Jessica Bruder","Norton","A look at an expanding low-cost labor pool, which largely consists of transient older adults, and what this might portend.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9780393356311.jpg",333,500
"108","THINKING, FAST AND SLOW","Paperback Nonfiction",3,0,261,"Daniel Kahneman","Farrar, Straus & Giroux","When we can and cannot trust our intuitions in making business and personal decisions.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9781429969352.jpg",330,490
"109","WHITE FRAGILITY","Paperback Nonfiction",4,2,130,"Robin DiAngelo","Beacon","Historical and cultural analyses on what causes defensive moves by white people and how this inhibits cross-racial dialogue.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9780807047415.jpg",330,495
"110","BRAIDING SWEETGRASS","Paperback Nonfiction",5,3,46,"Robin Wall Kimmerer","Milkweed Editions","A botanist and member of the Citizen Potawatomi Nation espouses having an understanding and appreciation of plants and animals.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9781571313560.jpg",321,495
"111","THE BODY","Paperback Nonfiction",6,4,5,"Bill Bryson","Anchor","An owner’s manual of the human body covering various parts, functions and what happens when things go wrong.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9780385539302.jpg",330,482
"112","THE WARMTH OF OTHER SUNS","Paperback Nonfiction",7,6,61,"Isabel Wilkerson","Vintage","An account of the Great Migration of 1915-70, in which six million African-Americans abandoned the South.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9780679763888.jpg",298,450
"113","BORN A CRIME","Paperback Nonfiction",8,7,107,"Trevor Noah","One World","A memoir about growing up biracial in apartheid South Africa by the host of “The Daily Show.”","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9780399588181.jpg",326,495
"114","WE DO THIS 'TIL WE FREE US","Paperback Nonfiction",9,0,1,"Mariame Kaba","Haymarket","A collection of essays and interviews that articulate the work of abolition and transformative justice.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9781642595253.jpg",323,500
"115","ALL ABOUT LOVE","Paperback Nonfiction",10,0,1,"bell hooks","Morrow","The feminist icon explores the causes of a polarized society and the meaning of love.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9780060959470.jpg",319,500
"116","SAPIENS","Paperback Nonfiction",11,8,133,"Yuval Noah Harari","Harper Perennial","How Homo sapiens became Earth’s dominant species.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9780062316097.jpg",128,192
"117","JUST MERCY","Paperback Nonfiction",12,11,243,"Bryan Stevenson","One World","A civil rights lawyer and MacArthur grant recipient’s memoir of his decades of work to free innocent people condemned to death.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9780812994520.jpg",128,193
"118","HOOD FEMINISM","Paperback Nonfiction",13,0,1,"Mikki Kendall","Penguin","A critique of how today's mainstream feminism overlooks basic needs such as access to food, education, living wages and medical care.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9780525560548.jpg",333,500
"119","THE COLOR OF LAW","Paperback Nonfiction",14,14,42,"Richard Rothstein","Liveright","A case for how the American government abetted racial segregation in metropolitan areas across the country.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9781631494536.jpg",314,495
"120","THE NEW JIM CROW","Paperback Nonfiction",15,12,223,"Michelle Alexander","New Press","A law professor on the “war on drugs” and its role in the disproportionate incarceration of Black men.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9781595586438.jpg",128,191
"121","THE BODY KEEPS THE SCORE","Paperback Nonfiction",1,1,124,"Bessel van der Kolk","Penguin","How trauma affects the body and mind, and innovative treatments for recovery.","2021-03-21","https://storage.googleapis.com/du-prd/books/images/9780670785933.jpg",128,193
"122","NOMADLAND","Paperback Nonfiction",2,2,3,"Jessica Bruder","Norton","A look at an expanding low-cost labor pool, which largely consists of transient older adults, and what this might portend.","2021-03-21","https://storage.googleapis.com/du-prd/books/images/9780393356311.jpg",333,500
"123","BECOMING","Paperback Nonfiction",3,0,1,"Michelle Obama","Crown","The former first lady describes her journey from the South Side of Chicago to the White House, and how she balanced work, family and her husband’s political ascent.","2021-03-21","https://storage.googleapis.com/du-prd/books/images/9781524763138.jpg",326,495
"124","WHITE FRAGILITY","Paperback Nonfiction",4,4,131,"Robin DiAngelo","Beacon","Historical and cultural analyses on what causes defensive moves by white people and how this inhibits cross-racial dialogue.","2021-03-21","https://storage.googleapis.com/du-prd/books/images/9780807047415.jpg",330,495
"125","HIDDEN VALLEY ROAD","Paperback Nonfiction",5,0,1,"Robert Kolker","Anchor","From 1945 to 1965, a family in Colorado had 12 children, six of whom went on to develop schizophrenia.","2021-03-21","https://storage.googleapis.com/du-prd/books/images/9780385543767.jpg",329,500
"126","BRAIDING SWEETGRASS","Paperback Nonfiction",6,5,47,"Robin Wall Kimmerer","Milkweed Editions","A botanist and member of the Citizen Potawatomi Nation espouses having an understanding and appreciation of plants and animals.","2021-03-21","https://storage.googleapis.com/du-prd/books/images/9781571313560.jpg",321,495
"127","THINKING, FAST AND SLOW","Paperback Nonfiction",7,3,262,"Daniel Kahneman","Farrar, Straus & Giroux","When we can and cannot trust our intuitions in making business and personal decisions.","2021-03-21","https://storage.googleapis.com/du-prd/books/images/9781429969352.jpg",330,490
"128","THE WARMTH OF OTHER SUNS","Paperback Nonfiction",8,7,62,"Isabel Wilkerson","Vintage","An account of the Great Migration of 1915-70, in which six million African-Americans abandoned the South.","2021-03-21","https://storage.googleapis.com/du-prd/books/images/9780679763888.jpg",298,450
"129","SAPIENS","Paperback Nonfiction",9,11,134,"Yuval Noah Harari","Harper Perennial","How Homo sapiens became Earth’s dominant species.","2021-03-21","https://storage.googleapis.com/du-prd/books/images/9780062316097.jpg",128,192
"130","JUST MERCY","Paperback Nonfiction",10,12,244,"Bryan Stevenson","One World","A civil rights lawyer and MacArthur grant recipient’s memoir of his decades of work to free innocent people condemned to death.","2021-03-21","https://storage.googleapis.com/du-prd/books/images/9780812994520.jpg",128,193
"131","THE BODY","Paperback Nonfiction",11,6,6,"Bill Bryson","Anchor","An owner’s manual of the human body covering various parts, functions and what happens when things go wrong.","2021-03-21","https://storage.googleapis.com/du-prd/books/images/9780385539302.jpg",330,482
"132","HOOD FEMINISM","Paperback Nonfiction",12,13,2,"Mikki Kendall","Penguin","A critique of how today's mainstream feminism overlooks basic needs such as access to food, education, living wages and medical care.","2021-03-21","https://storage.googleapis.com/du-prd/books/images/9780525560548.jpg",333,500
"133","BORN A CRIME","Paperback Nonfiction",13,8,108,"Trevor Noah","One World","A memoir about growing up biracial in apartheid South Africa by the host of “The Daily Show.”","2021-03-21","https://storage.googleapis.com/du-prd/books/images/9780399588181.jpg",326,495
"134","THE CHOICE","Paperback Nonfiction",14,0,4,"Edith Eva Eger","Scribner","Dr. Eger recounts her life and survivor’s guilt during and after her imprisonment in Auschwitz.","2021-03-21","https://storage.googleapis.com/du-prd/books/images/9781501130793.jpg",325,495
"135","THE COLOR OF LAW","Paperback Nonfiction",15,14,43,"Richard Rothstein","Liveright","A case for how the American government abetted racial segregation in metropolitan areas across the country.","2021-03-21","https://storage.googleapis.com/du-prd/books/images/9781631494536.jpg",314,495
